x,y
639262.816,9627518.375
639464.306,9627416.896
639527.833,9627391.067
639598.141,9627362.481
639632.729,9627357.343
639746.683,9627340.418
639910.668,9627319.829
640081.272,9627284.532
640184.221,9627224.234
640287.261,9627182.68
640328.416,9627170.586
640339.034,9627145.858
640360.905,9627123.433
640620.29,9626983.031
640789.422,9626902.144
640886.489,9626872.729
640931.531,9626861.386
640950.348,9626857.433
640951.723,9626857.087
640981.769,9626849.518
640995.887,9626834.19
641151.954,9626716.832
641299.026,9626577.113
641424.036,9626480.047
641456.391,9626457.986
641745.388,9626249.142
641879.225,9626144.723
642002.762,9626069.715
642148.099,9626002.807
642281.306,9625958.215
642297.88,9625851.304
642307.936,9625781.455
642316.76,9625721.154
642318.23,9625669.68
642341.027,9625525.55
642371.911,9625472.604
642401.326,9625409.362
642443.976,9625334.356
642471.919,9625274.057
642546.191,9625082.862
642593.255,9624981.384
642638.845,9624893.142
642664.019,9624812.772
642719.002,9624637.236
642714.589,9624519.578
642749.151,9624198.963
642780.035,9624066.596
642894.016,9623931.291
642935.712,9623899.449
642974.905,9623869.52
643064.619,9623794.515
643074.953,9623787.27
643093.376,9623777.725
643094.455,9623747.119
643104.327,9623712.154
643112.705,9623697.261
643188.354,9623668.226
643198.654,9623618.696
643226.824,9623537.447
643237.123,9623489.187
643244.863,9623439.658
643249.234,9623356.488
643250.698,9623280.898
643250.701,9623280.748
643251.733,9623227.479
643237.943,9623141.05
643259.653,9623102.981
643296.603,9623077.661
643346.272,9623054.911
643360.352,9623016.822
643343.922,9622973.582
643300.862,9622889.623
643296.352,9622872.943
643296.587,9622871.784
643303.532,9622837.533
643326.522,9622799.473
643385.191,9622732.274
643457.84,9622672.725
643524.16,9622600.455
643638.889,9622500.356
643686.038,9622463.616
643780.317,9622402.857
643823.646,9622369.917
643852.976,9622340.767
643878.526,9622295.087
643909.345,9622173.179
643975.685,9622092.019
644001.225,9622050.15
644061.194,9621971.521
644100.803,9621899.191
644117.443,9621853.491
644139.413,9621708.693
644165.062,9621619.814
644217.532,9621489.065
644263.511,9621410.396
644282.691,9621367.246
644286.63,9621317.696
644272.871,9621217.288
644270.441,9621170.278
644273.081,9621125.809
644306.61,9620934.03
644320.893,9620878.58
644324.842,9620863.247
644341.28,9620799.431
644347.74,9620753.702
644350.98,9620689.023
644340.229,9620701.593
644302.01,9620726.912
644263.8,9620745.882
644220.531,9620755.942
644167.111,9620753.272
644120.062,9620744.272
644071.408,9620729.67
644063.448,9620727.281
643966.51,9620698.188
643925.643,9620685.923
643924.049,9620683.859
643916.214,9620683.988
643785.399,9620667.151
643442.684,9620654.481
643335.419,9620647.037
643332.359,9620636.964
643329.382,9620623.02
643301.099,9620490.526
643289.249,9620395.147
643253.719,9620248.758
643170.25,9620062.58
643113.42,9619881.711
643091.031,9619828.162
643090.369,9619825.911
643057.741,9619714.823
643048.481,9619614.385
643038.36,9619581.985
642987.281,9619494.455
642967.481,9619435.846
642958.991,9619391.317
642945.901,9619153.659
642929.811,9619105.25
642914.241,9619070.19
642875.081,9619010.44
642838.461,9618946.951
642799.022,9618810.683
642779.081,9618767.323
642681.343,9618611.505
642673.08,9618581.24
642665.352,9618552.935
642641.233,9618548.915
642589.803,9618473.526
642520.554,9618400.527
642494.224,9618360.917
642444.724,9618254.788
642414.505,9618181.119
642389.455,9618140.25
642331.305,9618061.312
642331.235,9618061.217
642299.045,9618017.52
642262.456,9617986.721
642202.776,9617979.851
642112.877,9617940.972
641970.908,9617896.552
641864.319,9617875.313
641813.48,9617874.873
641721.851,9617886.783
641682.291,9617902.953
641626.385,9617945.486
641624.563,9617946.872
641568.372,9617989.622
641527.543,9618005.782
641493.373,9618014.012
641432.374,9618020.012
641377.434,9618017.192
641322.845,9618010.372
641273.465,9617988.343
641201.495,9617934.373
641139.786,9617871.594
641100.577,9617849.664
641066.757,9617838.804
641034.957,9617834.994
640923.968,9617840.514
640785.6,9617818.995
640694.271,9617797.885
640528.592,9617784.586
640470.382,9617777.025
640439.033,9617767.735
640404.963,9617740.766
640367.183,9617701.056
640318.244,9617630.777
640298.294,9617588.678
640272.824,9617453.808
640252.904,9617407.909
640202.685,9617338.88
640191.675,9617291.78
640193.425,9617239.721
640175.974,9617201.461
640145.815,9617163.091
640076.406,9617107.872
640009.726,9617031.073
639970.606,9617000.254
639937.507,9617005.043
639880.347,9617000.743
639800.278,9616998.784
639781.373,9617002.995
639779.421,9617003.43
639691.379,9617023.044
639645.38,9617030.044
639601.38,9617026.044
639576.36,9617019.714
639471.631,9616933.705
639430.022,9616913.795
639381.672,9616901.165
639329.562,9616900.715
639226.443,9616917.615
639148.384,9616914.055
639025.505,9616927.305
638960.996,9616925.836
638924.005,9616920.456
638922.96,9616920.304
638893.406,9616916.006
638809.807,9616883.526
638780.388,9616875.056
638739.388,9616873.056
638713.248,9616877.616
638671.388,9616912.056
638651.389,9616922.056
638632.389,9616926.056
638608.949,9616925.986
638599.91,9616916.621
638445.241,9616900.301
638356.683,9616884.758
638259.787,9616880.842
638153.103,9616861.268
638078.718,9616812.33
638018.577,9616781.849
638012.713,9616778.877
637951.215,9616786.003
637950.016,9616786.141
637890.886,9616792.993
637790.557,9616835.532
637725.157,9616845.692
637632.448,9616826.643
637604.508,9616828.553
637497.829,9616874.272
637473.7,9616892.052
637438.77,9616931.422
637410.83,9617007.621
637383.53,9617059.051
637325.741,9617138.43
637279.392,9617187.32
637258.432,9617199.39
637226.052,9617207.01
637189.869,9617225.865
637187.079,9617227.32
637199.966,9617261.638
637212.939,9617343.681
637204.939,9617394.876
637188.941,9617447.671
637153.744,9617502.066
637118.548,9617537.263
637075.102,9617572.518
637059.733,9617578.213
636991.434,9617594.446
636960.855,9617604.078
636936.843,9617611.641
