x,y
-79.7448,-3.2712
-79.7506,-3.2752
-79.7516,-3.2760
-79.7520,-3.2764
-79.7520,-3.2764
-79.7521,-3.2764
-79.7521,-3.2764
-79.7522,-3.2764
-79.7523,-3.2765
-79.7527,-3.2762
-79.7532,-3.2762
-79.7535,-3.2763
-79.7541,-3.2764
-79.7545,-3.2765
-79.7551,-3.2765
-79.7554,-3.2764
-79.7559,-3.2762
-79.7562,-3.2761
-79.7567,-3.2760
-79.7571,-3.2759
-79.7575,-3.2759
-79.7580,-3.2760
-79.7585,-3.2762
-79.7590,-3.2764
-79.7601,-3.2769
-79.7606,-3.2771
-79.7609,-3.2773
-79.7627,-3.2778
-79.7631,-3.2779
-79.7636,-3.2781
-79.7641,-3.2783
-79.7646,-3.2783
-79.7650,-3.2783
-79.7650,-3.2783
-79.7651,-3.2782
-79.7653,-3.2781
-79.7655,-3.2779
-79.7659,-3.2776
-79.7662,-3.2774
-79.7667,-3.2771
-79.7676,-3.2768
-79.7680,-3.2766
-79.7683,-3.2765
-79.7687,-3.2763
-79.7690,-3.2761
-79.7694,-3.2758
-79.7700,-3.2753
-79.7703,-3.2751
-79.7707,-3.2749
-79.7710,-3.2747
-79.7713,-3.2745
-79.7715,-3.2743
-79.7720,-3.2743
-79.7725,-3.2743
-79.7734,-3.2741
-79.7741,-3.2739
-79.7744,-3.2737
-79.7748,-3.2735
-79.7755,-3.2729
-79.7762,-3.2722
-79.7779,-3.2704
-79.7784,-3.2699
-79.7786,-3.2696
-79.7789,-3.2692
-79.7792,-3.2689
-79.7794,-3.2685
-79.7795,-3.2680
-79.7798,-3.2670
-79.7801,-3.2664
-79.7805,-3.2660
-79.7810,-3.2656
-79.7814,-3.2651
-79.7816,-3.2646
-79.7816,-3.2641
-79.7820,-3.2638
-79.7824,-3.2635
-79.7827,-3.2632
-79.7828,-3.2627
-79.7827,-3.2623
-79.7828,-3.2618
-79.7829,-3.2614
-79.7831,-3.2610
-79.7833,-3.2606
-79.7835,-3.2603
-79.7839,-3.2598
-79.7842,-3.2595
-79.7847,-3.2593
-79.7850,-3.2591
-79.7855,-3.2589
-79.7865,-3.2586
-79.7874,-3.2582
-79.7874,-3.2582
-79.7877,-3.2581
-79.7881,-3.2578
-79.7882,-3.2577
-79.7883,-3.2577
-79.7883,-3.2577
-79.7883,-3.2577
-79.7884,-3.2576
-79.7886,-3.2573
-79.7886,-3.2573
-79.7887,-3.2572
-79.7887,-3.2567
-79.7886,-3.2561
-79.7886,-3.2557
-79.7888,-3.2551
-79.7890,-3.2550
-79.7896,-3.2549
-79.7899,-3.2548
-79.7900,-3.2547
