x,$y
631759.381,9617890.271
631749.221,9617936.62
631693.982,9618077.589
631655.882,9618211.578
631654.612,9618360.167
631601.273,9618565.905
631449.505,9618915.782
631436.175,9618936.742
631316.796,9619031.351
631277.427,9619106.281
631217.097,9619183.12
631186.618,9619299.959
631111.688,9619384.408
631095.819,9619498.077
631096.449,9619558.397
631078.909,9619629.206
631071.809,9619646.526
631056.449,9619699.366
631053.269,9619774.295
631122.489,9619871.454
631131.379,9619918.444
631108.44,9620041.588
631103.147,9620070.004
631090.099,9620140.052
631034.86,9620339.44
631035.49,9620365.48
631056.45,9620444.219
631028.511,9620568.678
631030.411,9620699.487
631014.541,9620840.456
630998.661,9620893.155
630974.531,9620929.355
630880.552,9621004.914
630858.333,9621039.204
630850.713,9621111.593
630889.443,9621215.102
630878.653,9621262.722
630856.423,9621297.012
630828.483,9621324.322
630806.893,9621373.211
630804.354,9621398.611
630815.783,9621467.19
630808.804,9621503.39
630798.004,9621524.34
630754.194,9621562.44
630624.905,9621633.249
630576.396,9621673.569
630508.077,9621892.547
630429.963,9621923.18
630401.101,9621934.499
630312.368,9621969.297
630109.67,9622111.226
630130.63,9622155.035
630098.881,9622224.885
630007.442,9622261.714
629924.892,9622315.054
629879.803,9622335.374
629867.103,9622334.104
629779.473,9622287.114
629732.484,9622275.685
629708.994,9622283.945
629655.655,9622325.214
629654.385,9622327.854
629637.092,9622363.799
629636.632,9622364.756
629575.005,9622492.853
629480.397,9622628.112
629405.467,9622707.481
629277.969,9622793.051
629269.999,9622804.401
629234.448,9622974.302
629234.041,9622976.248
629221.319,9623037.049
629172.42,9623111.338
629160.99,9623146.898
629166.07,9623183.727
629178.14,9623204.047
629229.57,9623257.387
629285.449,9623294.856
629324.189,9623330.416
629382.608,9623429.475
629399.118,9623494.244
629405.468,9623576.154
629402.928,9623598.383
629373.079,9623669.503
629324.819,9623729.822
629287.99,9623750.142
629230.21,9623762.842
629180.04,9623764.752
629154.641,9623758.402
629126.071,9623737.442
629051.772,9623646.003
629006.052,9623618.704
628980.652,9623612.354
628947.002,9623614.254
628834.603,9623679.663
628819.109,9623691.218
628818.717,9623691.511
628817.585,9623692.355
628759.674,9623735.543
628693.005,9623771.103
628608.546,9623834.602
628517.746,9623876.512
628428.207,9623900.002
628401.537,9623900.002
628396.396,9623900.774
628338.038,9623909.532
628291.688,9623924.772
628260.569,9623947.632
628245.969,9623968.582
628235.809,9623990.811
628231.999,9624023.191
628247.239,9624105.74
628248.509,9624152.73
628235.169,9624200.99
628220.569,9624221.949
628151.99,9624242.269
628078.961,9624221.31
628032.611,9624220.68
627961.492,9624244.17
627891.642,9624291.159
627757.654,9624367.359
627705.584,9624449.278
627586.471,9624419.302
627584.997,9624418.931
627511.276,9624400.379
627439.526,9624391.489
627414.757,9624396.569
627342.367,9624433.399
627306.478,9624474.948
627285.398,9624492.248
627264.898,9624500.078
627254.108,9624494.358
627249.818,9624470.008
627250.928,9624417.529
627245.218,9624390.219
627227.038,9624369.899
627192.769,9624364.959
627175.639,9624368.659
627094.719,9624407.999
627078.12,9624425.509
627075.67,9624445.469
627089.98,9624486.068
627088.66,9624503.368
627065.17,9624532.088
626944.231,9624602.948
626920.731,9624631.517
626913.751,9624658.187
626866.762,9624664.537
626833.742,9624684.857
626808.342,9624692.477
626757.543,9624672.157
626732.143,9624669.617
626695.943,9624687.397
626661.264,9624717.897
626640.704,9624719.787
626619.744,9624704.547
626593.714,9624671.527
626492.115,9624592.788
626466.715,9624559.129
626422.895,9624475.309
626378.336,9624440.97
626311.646,9624414.17
626257.574,9624401.412
626199.377,9624387.68
626150.488,9624366.091
626065.398,9624315.291
625919.169,9624260.522
625832.32,9624194.602
625774.571,9624086.063
625754.881,9624067.014
625679.321,9624032.084
625599.942,9623981.925
625507.233,9623874.606
625485.643,9623793.966
625486.197,9623717.414
625486.208,9623715.937
625487.552,9623530.439
625457.072,9623411.06
625485.012,9623311.371
625485.642,9623274.541
625466.592,9623221.201
625423.413,9623169.132
625394.203,9623147.542
625388.493,9623136.742
625336.423,9623103.092
625248.154,9623063.723
625163.705,9623049.753
625041.146,9623049.113
624994.796,9623028.794
624917.957,9622973.554
624868.427,9622947.515
624811.277,9622933.545
624659.869,9622941.165
624581.13,9622931.005
624264.272,9622784.327
624196.323,9622760.827
624152.513,9622755.117
624075.674,9622701.778
624070.594,9622689.708
624011.544,9622631.288
623988.044,9622621.768
623941.695,9622623.038
623870.575,9622593.829
623835.646,9622551.279
623768.336,9622442.7
623744.846,9622424.92
623721.346,9622416.66
623687.057,9622414.121
623628.007,9622437.62
623594.348,9622464.29
623558.788,9622509.37
623525.768,9622536.68
623504.179,9622567.789
623484.499,9622584.299
623432.429,9622612.879
623397.5,9622616.689
623327.02,9622584.939
623304.16,9622581.76
623260.341,9622604.619
623241.291,9622622.399
623175.252,9622711.939
623123.182,9622769.088
623049.523,9622816.708
623024.763,9622819.888
622978.403,9622791.948
622933.954,9622779.878
622885.064,9622781.788
622837.435,9622792.578
622752.985,9622795.758
622736.476,9622813.538
622711.706,9622910.057
622681.866,9622937.357
622607.567,9622976.727
622526.288,9623005.937
622405.639,9623029.437
622329.439,9623051.657
622316.109,9623045.307
622235.46,9623045.947
622181.491,9623024.987
622117.351,9622972.917
622064.651,9622897.988
622047.502,9622886.558
622004.962,9622833.219
621992.892,9622828.139
621968.762,9622835.129
621898.283,9622881.479
621862.723,9622873.229
621852.563,9622865.609
621846.213,9622844.019
621848.113,9622821.789
621867.163,9622788.139
621867.199,9622787.453
621867.25,9622786.491
621867.803,9622776.069
621862.083,9622732.89
621850.023,9622700.51
621850.653,9622670.66
621872.243,9622655.421
621947.172,9622652.25
621959.872,9622644.631
621965.592,9622632.561
621983.372,9622375.393
621971.302,9622348.723
621902.092,9622289.034
621843.033,9622210.294
621782.713,9622165.205
621775.869,9622155.342
621767.176,9622142.813
621739.533,9622102.976
621647.137,9622069.734
621617.716,9622060.87
621584.467,9622035.01
621571.537,9621992.526
621575.232,9621929.724
621562.302,9621905.711
621527.206,9621854.915
621510.582,9621817.049
621476.41,9621710.839
621468.958,9621692.898
621468.058,9621690.731
621426.538,9621590.776
621390.519,9621511.349
621361.888,9621492.878
621290.774,9621468.865
621239.978,9621440.235
621193.8,9621369.12
621144.851,9621351.573
621086.666,9621336.796
621017.399,9621310.012
620910.715,9621255.411
620907.379,9621253.703
620900.106,9621249.981
620860.393,9621234.28
620805.759,9621218.914
620801.285,9621217.656
620804.631,9621240.941
620814.431,9621319.346
620845.303,9621416.862
620886.434,9621570.596
620909.987,9621651.096
620925.097,9621702.742
620959.48,9621773.604
621039.845,9621939.234
621090.318,9622049
621107.399,9622089.281
621155.982,9622203.85
621166.438,9622234.731
621174.6,9622258.839
621189.182,9622301.907
621207.807,9622358.512
621217.072,9622375.686
621251.14,9622438.836
621281.79,9622494.852
621284.723,9622502.294
621288.055,9622510.749
621300.956,9622543.487
621357.435,9622686.803
621364.709,9622717.785
621381.506,9622789.336
621388.248,9622814.51
621394.769,9622821.368
621416.158,9622839.524
621428.863,9622843.814
621467.151,9622829.617
621516.644,9622805.606
621525.13,9622805.142
621579.367,9622802.176
621616.12,9622842.358
621646.492,9622900.078
621659.655,9622933.462
621665.099,9622946.818
621700.727,9623036.769
621737.589,9623119.887
621738.475,9623128.229
621739.117,9623173.496
621735.719,9623230.96
621734.565,9623244.395
621740.588,9623268.11
621748.411,9623284.374
621754.892,9623297.848
621782.372,9623334.362
621875.35,9623443.151
621978.116,9623566.62
622009.36,9623606.145
622082.764,9623695.36
622154.662,9623783.068
622196.07,9623813.559
622229.726,9623849.276
622237.134,9623855.749
622252.546,9623869.215
622266.326,9623885.957
622267.593,9623894.573
622259.529,9623978.37
622257.21,9624002.468
622252.197,9624054.556
622254.04,9624063.51
622265.51,9624074.61
622265.71,9624074.803
622292.06,9624099.271
622308.453,9624123.773
622316.581,9624158.748
622314.203,9624180.359
622304.366,9624221.302
622294.434,9624240.474
622286.178,9624253.683
622242.079,9624288.395
622218.279,9624305.931
622202.233,9624318.396
622182.717,9624331.558
622169.767,9624342.001
622153.384,9624355.214
622148.64,9624361.267
622148.607,9624362.68
622149.259,9624395.949
622150.457,9624418.191
622150.898,9624426.39
622162.191,9624474.573
622175.006,9624508.771
622178.359,9624515.082
622193.435,9624543.46
622219.409,9624576.962
622245.813,9624607.222
622273.843,9624630.98
622283.705,9624639.34
622321.422,9624661.283
622335.476,9624670.006
622354.171,9624681.61
622385.732,9624715.013
622397.084,9624735.44
622406.848,9624756.979
622406.848,9624782.241
622406.848,9624787.906
622401.066,9624806.302
622399.005,9624812.857
622380.898,9624840.088
622347.019,9624874.343
622327.729,9624898.964
622318.41,9624910.857
622309.376,9624934.949
622309.34,9624935.74
622307.87,9624968.451
622309.195,9624988.056
622317.243,9625009.537
622337.006,9625044.444
622338.737,9625047.502
622368.257,9625100.345
622384.539,9625153.598
622383.909,9625186.029
622382.404,9625241.364
622384.393,9625267.821
622386.108,9625290.627
622386.673,9625292.566
622396.982,9625327.911
622418.446,9625380.345
622422.187,9625389.483
622423.375,9625397.701
622426.733,9625432.674
622427.025,9625440.958
622428.014,9625468.919
622427.229,9625512.351
622429.084,9625525.955
622442.094,9625544.643
622446.59,9625548.196
622460.099,9625550.512
622478.204,9625551.732
622541.786,9625545.484
622546.474,9625545.819
622582.976,9625548.427
622630.41,9625558.916
622632.636,9625559.663
622664.536,9625573.837
622689.672,9625582.933
622692.009,9625583.779
622719.655,9625583.011
622752.018,9625564.212
622759.165,9625558.002
622766.838,9625551.336
622785.676,9625523.602
622805.823,9625502.797
622832.469,9625492.992
622850.039,9625488.542
622892.163,9625485.664
622916.695,9625494.828
622937.688,9625502.671
622965.684,9625519.939
622983.737,9625540.347
623004.93,9625590.843
623011.59,9625608.632
623016.257,9625617.519
623037.866,9625669.833
623056.281,9625714.413
623058.759,9625719.563
623068.247,9625758.816
623081.329,9625787.858
623097.217,9625799.489
623106.671,9625806.409
623121.36,9625817.162
623168.716,9625831.552
623184.706,9625833.539
623198.916,9625835.304
623216.301,9625837.464
623259.505,9625829.72
623304.769,9625809.313
623327.734,9625799.438
623331.542,9625798.03
623336.153,9625797.791
623366.254,9625796.231
623402.099,9625800.155
623404.293,9625801.466
623432.525,9625818.341
623458.144,9625837.885
623484.254,9625863.995
623539.722,9625907.427
623602.777,9625953.476
623646.732,9625990.106
623657.38,9626004.096
623691.581,9626049.035
623691.734,9626049.236
623727.579,9626060.225
623731.541,9626060.334
623754.917,9626060.974
623765.778,9626061.272
623806.333,9626053.684
623848.306,9626047.174
623891.666,9626044.765
623913.654,9626045.825
623969.61,9626066.263
623983.53,9626078.302
624006.211,9626097.917
624036.453,9626134.301
624038.448,9626136.7
624043.492,9626142.768
624062.299,9626155.821
624081.416,9626170.415
624093.442,9626176.818
624128.942,9626205.322
624132.803,9626209.161
624138.685,9626220.354
624140.203,9626223.241
624147.706,9626235.985
624146.869,9626249.719
624146.472,9626256.232
624145.201,9626260.682
624130.584,9626281.264
624117.454,9626289.984
624105.876,9626296.931
624092.154,9626306.786
624087.274,9626310.292
624080.484,9626320.975
624073.986,9626346.683
624083.86,9626376.659
624105.593,9626411.734
624125.71,9626431.518
624172.114,9626477.153
624174.193,9626479.371
624189.734,9626495.959
624235.089,9626544.366
624248.559,9626558.743
624318.446,9626653.877
624327.562,9626658.494
624327.921,9626658.747
624344.623,9626670.518
624367.439,9626681.721
624378.744,9626683.776
624400.121,9626683.982
624423.965,9626672.985
624456.545,9626655.102
624480.818,9626637.855
624483.883,9626635.678
624494.263,9626631.669
624502.819,9626630.782
624508.589,9626631.256
624511.118,9626631.464
624522.07,9626632.363
624525.447,9626632.83
624538.765,9626638.452
624567.953,9626665.585
624591.797,9626684.393
624622.629,9626714.3
624654.647,9626739.974
624668.775,9626752.224
624685.014,9626766.305
624701.56,9626773.602
624716.771,9626777.302
624717.837,9626777.258
624726.876,9626776.889
624736.915,9626776.479
624849.348,9626729.976
624890.975,9626712.759
624902.999,9626709.059
624908.479,9626708.72
624920.368,9626710.498
624931.365,9626712.142
624952.332,9626718.823
624958.875,9626721.46
625049.248,9626757.877
625068.159,9626761.474
625087.275,9626758.905
625104.541,9626754.794
625134.552,9626745.852
625149.498,9626739.343
625180.698,9626719.336
625226.535,9626689.943
625234.257,9626686.805
625262.198,9626675.451
625277.101,9626674.115
625303.617,9626675.863
625311.58,9626676.962
625395.964,9626683.701
625443.006,9626665.692
625465.793,9626643.641
625472.776,9626581.162
625421.382,9626521.425
625416.177,9626515.376
625404.417,9626469.803
625406.687,9626455.611
625417.441,9626405.552
625427.938,9626371.674
625449.178,9626341.737
625505.09,9626293.174
625506.22,9626292.29
625616.109,9626206.289
625726.718,9626124.673
625740.513,9626117.897
625756.444,9626116.355
625762.375,9626116.253
625780.287,9626115.944
625793.545,9626119.233
625800.945,9626126.222
625803.823,9626137.218
625806.084,9626152.84
625806.231,9626178.323
625819.349,9626250.76
625844.708,9626262.153
625941.585,9626268.196
625946.056,9626269.259
626008.861,9626284.195
626025.897,9626288.247
626127.94,9626312.514
626170.333,9626308.093
626176.927,9626307.405
626230.239,9626301.845
626249.547,9626306.95
626265.077,9626312.553
626265.504,9626312.776
626286.455,9626323.755
626305.262,9626335.677
626316.67,9626344.207
626335.491,9626364.564
626360.241,9626381.548
626378.906,9626411.241
626406.688,9626455.44
626470.133,9626549.584
626472.135,9626552.555
626473.925,9626555.846
626531.701,9626662.079
626558.706,9626728.175
626559.468,9626729.796
626604.132,9626824.784
626636.506,9626880.693
626632.586,9626904.449
626631.741,9626909.571
626631.368,9626911.834
626629.004,9626918.412
626625.612,9626923.345
626619.061,9626926.065
626611.84,9626926.017
626600.595,9626925.943
626587.38,9626927.353
626574.916,9626928.683
626561.378,9626930.128
626550.381,9626939.275
626545.037,9626946.88
626543.593,9626952.194
626542.467,9626956.336
626542.423,9626958.217
626544.821,9626975.805
626546.167,9626979.049
626551.717,9626997.651
626560.225,9627014.891
626567.339,9627029.306
626601.255,9627075.76
626624.071,9627099.81
626639.936,9627112.459
626670.217,9627136.603
626713.177,9627179.255
626723.927,9627189.109
626730.443,9627195.082
626749.867,9627227.148
626758.398,9627259.522
626765.713,9627320.748
626767.236,9627354.486
626769.05,9627394.663
626762.509,9627424.579
626747.092,9627495.083
626724.893,9627545.854
626711.026,9627580.621
626708.963,9627600.427
626706.962,9627619.636
626707.319,9627626.635
626708.141,9627642.77
626719.24,9627657.262
626735.89,9627663.531
626756.651,9627665.586
626777.355,9627658.639
626798.693,9627650.338
626821.091,9627635.679
626833.629,9627622.626
626870.011,9627590.561
626895.808,9627570.006
626916.774,9627564.661
626936.301,9627565.278
626958.501,9627573.089
626979.159,9627583.983
626995.808,9627605.258
627011.327,9627630.848
627027.155,9627662.298
627030.161,9627678.357
627031.677,9627686.45
627033.938,9627705.977
627031.163,9627725.813
627018.933,9627764.045
627014.729,9627773.823
627004.441,9627797.755
626998.891,9627818.927
626997.966,9627833.213
627000.493,9627846.375
627001.872,9627853.562
627012.355,9627886.039
627017.288,9627892.103
627048.223,9627944.107
627074.02,9627983.367
627087.792,9627995.803
627101.05,9628005.258
627119.035,9628013.069
627155.931,9628015.731
627174.116,9628014.613
627182.66,9628015.137
627182.856,9628015.149
627191.26,9628014.078
627202.592,9628009.794
627215.532,9628002.075
627224.045,9627991.972
627228.475,9627984.992
627232.415,9627978.782
627236.541,9627972.279
627238.235,9627969.61
627252.424,9627949.178
627259.234,9627926.022
627264.115,9627889.811
627271.721,9627849.287
627276.375,9627819.774
627274.445,9627791.85
627272.061,9627778.796
627262.753,9627764.834
627224.045,9627726.013
627189.88,9627701.395
627166.721,9627673.604
627156.165,9627641.936
627154.054,9627616.601
627156.165,9627578.6
627173.054,9627559.599
627193.403,9627550.35
627200.19,9627550.936
627209.856,9627551.772
627235.737,9627563.123
627268.156,9627581.242
627324.685,9627634.877
627393.644,9627715.839
627446.768,9627792.716
627493.677,9627863.207
627507.979,9627880.149
627526.028,9627893.004
627540.461,9627896.751
